City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,payo,-3.7508,103.6372,30.11,61,100,2.46,ID,1674542033
180,paamiut,61.994,-49.6678,-2.52,94,100,9.17,GL,1674542033
181,cayenne,4.9333,-52.3333,24.02,83,20,2.06,GF,1674542034
182,hay river,60.8156,-115.7999,-11.01,85,75,2.06,CA,1674542035
183,ponta do sol,32.6667,-17.1,16.35,62,6,3.52,PT,1674542035
184,amga,60.8953,131.9608,-35.31,98,100,0.6,RU,1674542035
185,kuala lumpur,3.1431,101.6865,27.3,92,20,2.57,MY,1674541749
186,toktogul,41.8708,72.9402,-7.36,74,1,0.56,KG,1674542036
187,wilmington,34.2257,-77.9447,4.38,70,0,2.06,US,1674541905
188,sabang,5.8933,95.3214,25.67,86,94,9.77,ID,1674542036
189,leshukonskoye,64.8989,45.7622,-11.64,91,13,4.59,RU,1674542037
190,tanete,-3.9443,119.7848,30.12,63,100,4.22,ID,1674542037
191,staryy oskol,51.2967,37.8417,-4.65,76,90,2.12,RU,1674542039
192,grenada,37.1882,-3.6067,0.93,87,0,1.03,ES,1674542041
193,porto novo,6.4965,2.6036,26.9,83,72,0.85,BJ,1674542042
194,atuona,-9.8,-139.0333,26.27,77,4,9.21,PF,1674542042
195,nanzhou,29.3596,112.4024,6.16,17,0,5.58,CN,1674542043
196,karratha,-20.7377,116.8463,31.76,53,69,6.22,AU,1674542044
197,rio cuarto,-33.1307,-64.3499,26.93,60,0,5.14,AR,1674542046
198,georgetown,5.4112,100.3354,29.99,70,20,3.6,MY,1674542034
199,vigrestad,58.5667,5.7,6.82,97,100,3.14,NO,1674542047
200,iracoubo,5.4802,-53.2011,24.22,78,53,5.18,GF,1674542048
201,shira,54.4911,89.9531,-9.74,68,100,2.28,RU,1674542049
202,san cristobal,7.7669,-72.225,17.33,82,63,1.67,VE,1674542050
203,vestmanna,62.1564,-7.1664,7.51,100,100,4.63,FO,1674542051
204,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,56,20,2.0,RU,1674542051
205,salta,-24.7859,-65.4117,19.33,86,0,2.57,AR,1674542053
206,talnakh,69.4865,88.3972,-29.33,95,55,3.45,RU,1674542056
207,opotiki,-38.0833,177.2833,20.21,90,78,2.0,NZ,1674542057
208,laguna,38.421,-121.4238,9.05,80,0,1.54,US,1674542058
209,vanimo,-2.6741,141.3028,24.3,94,100,2.2,PG,1674542059
210,nanortalik,60.1432,-45.2371,-1.56,97,100,3.14,GL,1674542060
211,port hedland,-20.3167,118.5667,31.03,66,40,7.72,AU,1674542060
212,lebu,-37.6167,-73.65,15.31,93,100,6.48,CL,1674542061
213,progreso,21.2833,-89.6667,24.06,86,0,4.43,MX,1674542062
214,atar,20.5169,-13.0499,17.37,19,0,3.03,MR,1674542078
215,avera,33.194,-82.5271,1.73,74,0,2.37,US,1674542080
216,saldanha,-33.0117,17.9442,21.03,76,34,6.6,ZA,1674542082
217,tuscaloosa,33.2098,-87.5692,1.23,92,0,0.0,US,1674542083
218,rio de janeiro,-22.9028,-43.2075,24.98,88,100,3.6,BR,1674542083
219,orlik,52.5178,99.825,-15.68,78,61,0.66,RU,1674542091
220,alta floresta,-9.8756,-56.0861,21.3,99,100,0.81,BR,1674542092
221,oda,35.1833,132.5,-2.57,83,100,15.04,JP,1674542053
222,bandarbeyla,9.4942,50.8122,25.6,58,100,9.15,SO,1674542095
223,kaitangata,-46.2817,169.8464,13.52,65,36,3.39,NZ,1674542096
224,flinders,-34.5833,150.8552,26.7,72,94,2.68,AU,1674542097
225,santa luzia,-19.7697,-43.8514,20.5,94,100,0.0,BR,1674542100
226,nuuk,64.1835,-51.7216,-2.5,92,100,8.27,GL,1674542102
227,kruisfontein,-34.0033,24.7314,21.05,66,86,9.3,ZA,1674542103
228,kloulklubed,7.0419,134.2556,23.28,84,100,6.0,PW,1674542104
229,lakes entrance,-37.8811,147.981,21.76,69,100,3.19,AU,1674542105
230,san quintin,30.4833,-115.95,11.61,43,0,2.68,MX,1674542111
231,bambanglipuro,-7.95,110.2833,29.83,67,89,5.12,ID,1674542112
232,tamale,9.4008,-0.8393,26.51,59,0,2.38,GH,1674542114
233,port-cartier,50.0334,-66.8654,-10.18,96,41,2.66,CA,1674542115
234,matam,15.6175,-13.3303,19.0,59,0,1.03,SN,1674542117
235,sao cristovao,-11.0147,-37.2064,25.95,83,40,2.57,BR,1674542117
236,dikson,73.5069,80.5464,-21.93,96,100,16.96,RU,1674542119
237,souillac,-20.5167,57.5167,25.21,88,75,3.09,MU,1674542119
238,wakkanai,45.4094,141.6739,-10.01,73,100,10.8,JP,1674542121
239,makakilo city,21.3469,-158.0858,25.18,70,100,2.06,US,1674542122
240,alihe,50.5667,123.7167,-17.52,67,83,4.07,CN,1674542123
241,tecpatan,17.1333,-93.3,19.32,99,71,0.88,MX,1674542123
242,victoria,22.2855,114.1577,18.31,44,94,8.49,HK,1674541846
243,east london,-33.0153,27.9116,25.52,69,0,5.14,ZA,1674542125
244,ayotzintepec,17.6667,-96.1333,21.03,98,70,0.53,MX,1674542130
245,waynesville,35.4887,-82.9887,-1.41,80,5,2.24,US,1674542131
246,bobovdol,42.3697,23.0172,2.46,89,100,1.4,BG,1674542132
247,komsomolskiy,40.4272,71.7189,-1.6,64,4,1.03,UZ,1674542141
248,saint-joseph,-21.3667,55.6167,25.21,86,100,2.17,RE,1674542150
249,tuatapere,-46.1333,167.6833,14.79,60,5,2.58,NZ,1674542157
250,angoram,-4.0625,144.0661,27.23,84,100,2.34,PG,1674542158
251,axim,4.8699,-2.2405,26.14,86,58,1.63,GH,1674542158
252,saint george,37.1041,-113.5841,1.33,58,0,1.79,US,1674542159
253,aripuana,-9.1667,-60.6333,21.85,97,99,0.67,BR,1674542164
254,brookhaven,31.5791,-90.4407,3.81,94,62,2.13,US,1674542164
255,paris,48.8534,2.3488,2.19,86,100,6.17,FR,1674542150
256,chuy,-33.6971,-53.4616,15.8,80,0,1.22,UY,1674542169
257,churapcha,62.0025,132.4325,-38.24,95,100,1.9,RU,1674542174
258,baykit,61.67,96.37,-27.74,95,81,1.0,RU,1674542178
259,itarema,-2.9248,-39.9167,23.93,88,33,2.01,BR,1674542180
260,barentu,15.1139,37.5928,24.45,48,0,2.39,ER,1674542180
261,pedernales,18.0384,-71.744,23.52,51,12,2.18,DO,1674542182
262,murgab,37.4966,61.9714,-4.07,74,0,5.14,TM,1674542219
263,alexandria,31.2156,29.9553,14.3,65,0,5.02,EG,1674542022
264,srednekolymsk,67.45,153.6833,-30.76,94,100,0.94,RU,1674542227
265,ostrovnoy,68.0531,39.5131,-3.14,89,100,9.47,RU,1674542228
266,jilib,0.4883,42.7854,32.06,43,76,4.75,SO,1674542229
267,ust-nera,64.5667,143.2,-38.45,100,31,0.46,RU,1674542233
268,port blair,11.6667,92.75,29.02,65,40,5.66,IN,1674542233
269,bereda,43.2686,-7.5406,3.41,100,18,3.55,ES,1674542234
270,goure,13.9835,10.2704,19.73,17,12,3.35,NE,1674542236
271,port lincoln,-34.7333,135.8667,19.77,64,0,7.18,AU,1674542237
272,pandrup,57.2215,9.6757,0.95,86,75,5.14,DK,1674542239
273,huilong,31.8111,121.655,-0.04,35,68,11.37,CN,1674542240
274,tiksi,71.6872,128.8694,-33.59,99,100,1.66,RU,1674542240
275,severo-kurilsk,50.6789,156.125,-8.22,59,91,3.43,RU,1674542241
276,dingle,10.9995,122.6711,26.74,81,38,7.48,PH,1674542242
277,thinadhoo,0.5333,72.9333,26.78,78,100,6.28,MV,1674542247
278,brae,60.3964,-1.353,9.4,98,100,9.47,GB,1674542249
279,terme,41.2092,36.9739,6.96,83,100,1.36,TR,1674542250
280,fairbanks,64.8378,-147.7164,-20.78,76,20,0.0,US,1674542252
281,bongaree,-27.0797,153.1586,27.26,75,42,5.5,AU,1674542253
282,sojat,25.9167,73.6667,20.54,35,0,3.23,IN,1674542212
283,kamenka,51.3223,42.7678,-6.29,74,78,2.69,RU,1674542260
284,lata,40.1629,-8.3327,4.49,81,3,2.19,PT,1674542260
285,rawlins,41.7911,-107.2387,-8.06,67,0,2.06,US,1674542264
286,kudahuvadhoo,2.6708,72.8944,26.47,78,84,6.78,MV,1674542265
287,dondo,-19.6094,34.7431,27.73,74,74,2.47,MZ,1674542266
288,calama,-22.4667,-68.9333,10.27,71,0,1.54,CL,1674542271
289,sunnyside,46.3237,-120.0087,0.86,93,0,0.0,US,1674542272
290,yumen,40.2833,97.2,-9.69,35,1,11.2,CN,1674542273
291,santa maria,-29.6842,-53.8069,19.33,71,0,2.23,BR,1674542274
292,copiapo,-27.3667,-70.3333,15.83,78,0,0.33,CL,1674542278
293,broome,42.2506,-75.833,0.01,86,100,2.24,US,1674542279
294,kawalu,-7.3817,108.2082,31.6,50,87,1.44,ID,1674542283
295,urumqi,43.801,87.6005,-17.47,66,0,2.0,CN,1674541936
296,caraballeda,10.6112,-66.8522,25.2,83,40,0.0,VE,1674542299
297,nieuw amsterdam,5.8833,-55.0833,23.34,89,59,4.33,SR,1674542304
298,ancud,-41.8697,-73.8203,11.41,84,88,4.69,CL,1674542304
299,dudinka,69.4058,86.1778,-33.84,99,18,3.01,RU,1674542305
300,marakkanam,12.2,79.95,27.16,59,27,4.85,IN,1674542306
301,raga,8.4596,25.678,25.17,16,98,3.33,SS,1674542307
302,alice springs,-23.7,133.8833,37.75,15,15,1.54,AU,1674542066
303,isangel,-19.55,169.2667,28.25,80,100,1.93,VU,1674542310
304,waipawa,-41.4122,175.5153,14.58,72,51,3.02,NZ,1674542310
305,opuwo,-18.0607,13.84,17.83,87,100,1.65,NA,1674542311
306,ponta delgada,37.7333,-25.6667,15.4,77,75,5.66,PT,1674542311
307,bagdarin,54.4333,113.6,-22.66,69,71,0.73,RU,1674542315
308,balkhash,46.844,74.9804,-14.66,85,0,4.0,KZ,1674542316
309,dawson creek,55.7666,-120.2362,3.8,60,0,7.2,CA,1674542316
310,saint pete beach,27.7253,-82.7412,13.34,75,100,7.05,US,1674542318
311,iranshahr,27.2025,60.6848,11.19,25,0,2.06,IR,1674542318
312,paita,-5.0892,-81.1144,21.17,80,89,1.92,PE,1674542319
313,cairns,-16.9167,145.7667,31.17,75,75,2.57,AU,1674542320
314,hilo,19.7297,-155.09,23.49,93,40,1.54,US,1674542321
315,san ramon,37.7799,-121.978,11.23,63,0,1.54,US,1674542321
316,liku,-0.7275,119.8922,28.57,71,68,2.38,ID,1674542321
317,socorro,31.6546,-106.3033,3.56,79,100,4.12,US,1674542322
318,aksarka,66.5606,67.7975,-4.76,92,100,6.44,RU,1674542322
319,roald,62.5833,6.1333,9.51,81,75,5.66,NO,1674542323
320,umm kaddadah,13.6017,26.6876,21.39,16,8,8.78,SD,1674542324
321,oneida,43.2001,-75.4663,0.08,89,100,2.57,US,1674542324
322,atambua,-9.1061,124.8925,26.36,75,100,1.6,ID,1674542324
323,najran,17.4924,44.1277,18.36,27,3,1.31,SA,1674542325
324,awjilah,29.1081,21.2869,11.99,59,0,3.56,LY,1674542325
325,nikolayevsk-na-amure,53.1406,140.73,-30.61,97,100,1.65,RU,1674542326
326,hauterive,46.0901,3.4459,0.42,96,100,0.31,FR,1674542326
327,bredy,52.4153,60.3411,-11.53,91,15,1.55,RU,1674542326
328,lumby,50.2498,-118.969,-2.67,94,74,1.03,CA,1674542327
329,pudozh,61.8099,36.5345,-7.11,94,100,4.32,RU,1674542327
330,goundam,16.4145,-3.6708,19.44,15,7,4.04,ML,1674542327
331,senneterre,48.3835,-77.2328,-4.42,96,100,3.94,CA,1674542328
332,peleduy,59.6289,112.7406,-27.79,89,100,1.2,RU,1674542328
333,avdon,54.6667,55.7167,-9.38,92,100,0.0,RU,1674542328
334,mezen,65.8522,44.24,-10.33,90,100,5.11,RU,1674542329
335,hofn,64.2539,-15.2082,3.97,90,100,1.66,IS,1674542330
336,kralendijk,12.15,-68.2667,25.99,78,75,7.2,BQ,1674542330
337,haines junction,60.7522,-137.5108,-4.0,96,100,1.73,CA,1674542330
338,labytnangi,66.6572,66.4183,-6.32,88,100,4.56,RU,1674542331
339,zhaotong,27.3167,103.7167,4.38,45,96,1.84,CN,1674542331
340,dwarka,22.2394,68.9678,20.17,36,6,6.45,IN,1674542332
341,baoqing,46.3317,132.2111,-24.1,86,100,5.41,CN,1674542332
342,port macquarie,-31.4333,152.9167,26.05,74,53,5.22,AU,1674542098
343,campoverde,-8.4753,-74.8058,20.72,94,41,0.56,PE,1674542333
344,mangan,27.5167,88.5333,20.94,45,67,3.04,IN,1674542333
345,saint-louis,16.3333,-15.0,18.74,32,31,3.06,SN,1674542333
346,carutapera,-1.195,-46.02,23.49,93,100,2.74,BR,1674542334
347,cam ranh,11.9214,109.1591,26.98,74,40,7.2,VN,1674542334
348,along,28.1667,94.7667,24.39,28,100,0.84,IN,1674542335
349,codrington,-38.2667,141.9667,19.6,71,5,6.63,AU,1674542335
350,linfen,36.0889,111.5189,-7.1,19,0,1.31,CN,1674542336
351,jerome,42.7241,-114.5186,-4.54,81,100,4.63,US,1674542336
352,natal,-5.795,-35.2094,26.12,78,75,3.09,BR,1674542337
353,allapalli,19.4167,80.0667,31.3,26,6,2.35,IN,1674542337
354,primorsko-akhtarsk,46.0497,38.1747,1.76,76,6,7.27,RU,1674542338
